name		= SN2012A
type        = IIP
subtyep     = IIP-norm
t_ref_type  = exp
JD_ref  	= 2455933.5
JD_ref_err	= +1, -3
z      		= 0.002512

Filename		JD_spec		Ref
2012A_20120109_NOT_PSNinNGC3239.fits			2455936.64 	1
2012A_20120114_INT_dered.fits					2455941.71 	1
2012A_20120116_INT_dered.fits					2455943.64 	1
2012A_20120117_Carelec_e.fits					2455944.47 	1
2012A_20120117_EKAR_dered.fits					2455944.53 	1
2012A_20120117_INT_dered.fits					2455944.64 	1
2012A_20120118_INT_dered.fits					2455945.69 	1
2012A_20120121_EKAR_dered.fits					2455948.48 	1
2012A_20120123_EKAR_dered.fits          		2455950.48 	1
2012A_20120124_EKAR_dered.fits          		2455951.47 	1
2012A_20120126_T122_dered.fits					2455952.65 	1
2012A_20120127_EKAR_dered.fits					2455952.65 	1
2012A_20120129_EKAR_dered.fits					2455952.65 	1
2012A_20120130_EKAR_dered.fits					2455952.65 	1
2012A_20120205_T122_gt300_dered.fits			2455963.44 	1
2012A_20120210_CalarAlto_CAFOS_gm200_dered.fits	2455968.61 	1
20120608_NOT.fits								2456087.39 	1
20120627_WHT_s.fits								2456106.39 	1
20130203_TNG_per1p8.fits						2456326.55 	1

# References
1	http://adsabs.harvard.edu/abs/2013MNRAS.434.1636T



## NOTES
##
## These spectra in Ref 1, but I do not have the fits files
## 2012-01-10 	2455937.45 	3.9 	Ekar+Echelle+gr300 	3780–7400 	0.34 
## 2012-01-15 	2455941.58 	8.1 	Ekar+Echelle+gr300 	4060–7785 	0.38 
## 2012-01-16 	2455942.64 	9.1 	Ekar+Echelle+gr300 	4060–7785 	0.38 
## 2012-01-18 	2455945.48 	12.0 	OHP+1.93m+Carelec 	3700–7300 	7 
## 2012-01-20 	2455946.56 	13.1 	OHP+1.93m+Carelec 	3700–7300 	7 
## 2012-01-21 	2455947.50 	14.0 	OHP+1.93m+Carelec 	3700–7300 	7 
## 2012-02-13 	2455971.44 	37.9 	Pennar+B&C+300tr/mm 	3400–7800 	10 
## 2012-02-18 	2455976.44 	42.9 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-02-22 	2455980.50 	47.0 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-02-25 	2455983.49 	50.0 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-02-28 	2455986.42 	52.9 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-03-06 	2455993.38 	59.9 	Pennar+B&C+300tr/mm 	3400–7800 	10 
## 2012-03-09 	2455996.93 	63.4 	Ekar+Echelle+gr300 	3780–7400 	0.34 
## 2012-03-11 	2455998.59 	65.1 	CAHA+CAFOS+b200 	3300–8850 	13 
## 2012-03-13 	2455999.68 	66.2 	NTT+EFOSC2+gr11+gr16 	3350–10 000 	12 
## 2012-03-15 	2456000.61 	67.1 	NTT+SOFI+GB+GR 	9400–25 000 	20 
## 2012-03-15 	2456002.38 	68.9 	Pennar+B&C+300tr/mm 	3400–7800 	10 
## 2012-03-17 	2456004.41 	70.9 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-03-25 	2456012.51 	79.0 	Pennar+B&C+300tr/mm 	3400–7800 	10 
## 2012-03-27 	2456014.34 	80.8 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-03-29 	2456016.33 	82.8 	Pennar+B&C+300tr/mm 	3400–7800 	10 
## 2012-03-31 	2456018.40 	84.9 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-04-12 	2456030.32 	96.8 	Pennar+B&C+300tr/mm 	3400–7800 	10 
## 2012-04-22 	2456040.56 	107.1 	CAHA+CAFOS+g200 	4100–10 200 	13 
## 2012-04-24 	2456042.41 	108.9 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-04-27 	2456045.44 	111.9 	Ekar+AFOSC+gm4 	3500–8200 	24 
## 2012-05-01 	2456049.39 	115.9 	CAHA+CAFOS+g200 	3800–10 200 	13 
## 2012-05-15 	2456063.37 	129.9 	CAHA+CAFOS+g200 	3800–10 200 	13 
## 2012-05-15 	2456063.39 	129.9 	INT+IDS+R150V 	4000–9500 	10 

