name		= SN2003du
type        = Ia
subtyep     = Ia-norm
t_ref_type  = Bmax
JD_ref  	= 2452766.38
JD_ref_err	= 0.5
z      		= 0.006384

Filename									 JD_spec		Ref
2003du_2003du_20030423_4900_7499_00.fits     2452753.58 	1
2003du_2003du_20030425_3451_10400_00.fits    2452755.43 	1
2003du_2003du_20030425_4250_7499_00.fits     2452755.58 	1
2003du_2003du_20030428_3200_7500_00.fits     2452758.54 	1
2003du_2003du_20030430_3233_8058_00.fits     2452760.56 	1
2003du_2003du_20030502_3230_8058_00.fits     2452762.39 	1
2003du_2003du_20030504_3435_7775_00.fits     2452764.48 	1
2003du_2003du_20030505_3499_7775_00.fits     2452765.39 	1
2003du_2003du_20030506_3446_7775_00.fits     2452766.39 	1
2003du_2003du_20030507_3404_10096_00.fits    2452767.55 	1
2003du_2003du_20030508_5858_7062_00.fits     2452768.54 	1
2003du_2003du_20030509_3402_10011_00.fits    2452769.54 	1
2003du_2003du_20030510_3203_10000_00.fits    2452770.64 	1
2003du_2003du_20030512_4679_7017_00.fits     2452772.57 	1
2003du_2003du_20030513_3300_7200_00.fits     2452773.61 	1
2003du_2003du_20030514_3303_7201_00.fits     2452774.59 	1
2003du_2003du_20030515_3252_7200_00.fits     2452775.48 	1
2003du_2003du_20030516_3258_9799_00.fits     2452776.47 	1
2003du_2003du_20030521_3804_6132_00.fits     2452781.51 	1
2003du_2003du_20030523_3498_10103_00.fits    2452783.55 	1
2003du_2003du_20030524_4260_6595_00.fits     2452784.60 	1
2003du_2003du_20030525_3498_7775_00.fits     2452785.39 	1
2003du_2003du_20030527_3403_8826_00.fits     2452787.52 	1
2003du_2003du_20030601_3242_8057_00.fits     2452792.52 	1
2003du_2003du_20030606_3238_8057_00.fits     2452797.60 	1
2003du_2003du_20030609_3200_10499_00.fits    2452800.45 	1
2003du_2003du_20030614_3497_10219_00.fits    2452805.38 	1
2003du_2003du_20030620_3877_7771_00.fits     2452811.54 	1
2003du_2003du_20030626_3350_10222_00.fits    2452817.52 	1
2003du_2003du_20030708_3126_9849_00.fits     2452829.44 	1
2003du_2003du_20030717_3499_10250_00.fits    2452838.41 	1
2003du_2003du_20030729_3350_10300_00.fits    2452850.42 	1
2003du_2003du_20030823_3494_7818_00.fits     2452875.32 	1
2003du_2003du_20030925_3190_8796_00.fits     2452907.82 	1
2003du_2003du_20031118_4370_7049_00.fits     2452962.25 	1
2003du_2003du_20031201_3191_9327_00.fits     2452975.70 	1
2003du_2003du_20031213_3219_8822_00.fits     2452987.72 	1
2003du_2003du_20040202_3182_9333_00.fits     2453038.71 	1
2003du_2003du_20040517_3428_8055_00.fits     2453143.30 	1


# References
1	http://adsabs.harvard.edu/abs/2007A%26A...469..645S
